academicYear,quota,educationType,degreeProgram,departmentName,semesterNumber,tuition,exam,erp,book,lab,isActive
2023-2024,Government Quota,UG,BE,CSE,1,40000,2000,500,1000,1500,true
2023-2024,Government Quota,UG,BE,CSE,2,40000,2000,500,1000,1500,true
2023-2024,Government Quota,UG,BE,CSE,3,40000,2000,500,1000,1500,true
2023-2024,Government Quota,UG,BE,CSE,4,40000,2000,500,1000,1500,true
2023-2024,Government Quota,UG,BE,CSE,5,40000,2000,500,1000,1500,true
2023-2024,Government Quota,UG,BE,CSE,6,40000,2000,500,1000,1500,true
2023-2024,Government Quota,UG,BE,CSE,7,40000,2000,500,1000,1500,true
2023-2024,Government Quota,UG,BE,CSE,8,40000,2000,500,1000,1500,true
2023-2024,Management Quota,UG,BE,CSE,1,75000,2000,500,1000,1500,true
2023-2024,Management Quota,UG,BE,CSE,2,75000,2000,500,1000,1500,true
2023-2024,Management Quota,UG,BE,CSE,3,75000,2000,500,1000,1500,true
2023-2024,Management Quota,UG,BE,CSE,4,75000,2000,500,1000,1500,true
2023-2024,Management Quota,UG,BE,CSE,5,75000,2000,500,1000,1500,true
2023-2024,Management Quota,UG,BE,CSE,6,75000,2000,500,1000,1500,true
2023-2024,Management Quota,UG,BE,CSE,7,75000,2000,500,1000,1500,true
2023-2024,Management Quota,UG,BE,CSE,8,75000,2000,500,1000,1500,true
2024-2025,Government Quota,UG,BE,CSE,1,42000,2000,500,1000,1500,true
2024-2025,Government Quota,UG,BE,CSE,2,42000,2000,500,1000,1500,true
2024-2025,Government Quota,UG,BE,CSE,3,42000,2000,500,1000,1500,true
2024-2025,Government Quota,UG,BE,CSE,4,42000,2000,500,1000,1500,true
2024-2025,Government Quota,UG,BE,CSE,5,42000,2000,500,1000,1500,true
2024-2025,Government Quota,UG,BE,CSE,6,42000,2000,500,1000,1500,true
2024-2025,Government Quota,UG,BE,CSE,7,42000,2000,500,1000,1500,true
2024-2025,Government Quota,UG,BE,CSE,8,42000,2000,500,1000,1500,true
2024-2025,Management Quota,UG,BE,CSE,1,78000,2000,500,1000,1500,true
2024-2025,Management Quota,UG,BE,CSE,2,78000,2000,500,1000,1500,true
2024-2025,Management Quota,UG,BE,CSE,3,78000,2000,500,1000,1500,true
2024-2025,Management Quota,UG,BE,CSE,4,78000,2000,500,1000,1500,true
2024-2025,Management Quota,UG,BE,CSE,5,78000,2000,500,1000,1500,true
2024-2025,Management Quota,UG,BE,CSE,6,78000,2000,500,1000,1500,true
2024-2025,Management Quota,UG,BE,CSE,7,78000,2000,500,1000,1500,true
2024-2025,Management Quota,UG,BE,CSE,8,78000,2000,500,1000,1500,true
2025-2026,Government Quota,UG,BE,CSE,1,44000,2000,500,1000,1500,true
2025-2026,Government Quota,UG,BE,CSE,2,44000,2000,500,1000,1500,true
2025-2026,Government Quota,UG,BE,CSE,3,44000,2000,500,1000,1500,true
2025-2026,Government Quota,UG,BE,CSE,4,44000,2000,500,1000,1500,true
2025-2026,Government Quota,UG,BE,CSE,5,44000,2000,500,1000,1500,true
2025-2026,Government Quota,UG,BE,CSE,6,44000,2000,500,1000,1500,true
2025-2026,Government Quota,UG,BE,CSE,7,44000,2000,500,1000,1500,true
2025-2026,Government Quota,UG,BE,CSE,8,44000,2000,500,1000,1500,true
2025-2026,Management Quota,UG,BE,CSE,1,81000,2000,500,1000,1500,true
2025-2026,Management Quota,UG,BE,CSE,2,81000,2000,500,1000,1500,true
2025-2026,Management Quota,UG,BE,CSE,3,81000,2000,500,1000,1500,true
2025-2026,Management Quota,UG,BE,CSE,4,81000,2000,500,1000,1500,true
2025-2026,Management Quota,UG,BE,CSE,5,81000,2000,500,1000,1500,true
2025-2026,Management Quota,UG,BE,CSE,6,81000,2000,500,1000,1500,true
2025-2026,Management Quota,UG,BE,CSE,7,81000,2000,500,1000,1500,true
2025-2026,Management Quota,UG,BE,CSE,8,81000,2000,500,1000,1500,true
2026-2027,Government Quota,UG,BE,CSE,1,46000,2000,500,1000,1500,true
2026-2027,Government Quota,UG,BE,CSE,2,46000,2000,500,1000,1500,true
2026-2027,Government Quota,UG,BE,CSE,3,46000,2000,500,1000,1500,true
2026-2027,Government Quota,UG,BE,CSE,4,46000,2000,500,1000,1500,true
2026-2027,Government Quota,UG,BE,CSE,5,46000,2000,500,1000,1500,true
2026-2027,Government Quota,UG,BE,CSE,6,46000,2000,500,1000,1500,true
2026-2027,Government Quota,UG,BE,CSE,7,46000,2000,500,1000,1500,true
2026-2027,Government Quota,UG,BE,CSE,8,46000,2000,500,1000,1500,true
2026-2027,Management Quota,UG,BE,CSE,1,84000,2000,500,1000,1500,true
2026-2027,Management Quota,UG,BE,CSE,2,84000,2000,500,1000,1500,true
2026-2027,Management Quota,UG,BE,CSE,3,84000,2000,500,1000,1500,true
2026-2027,Management Quota,UG,BE,CSE,4,84000,2000,500,1000,1500,true
2026-2027,Management Quota,UG,BE,CSE,5,84000,2000,500,1000,1500,true
2026-2027,Management Quota,UG,BE,CSE,6,84000,2000,500,1000,1500,true
2026-2027,Management Quota,UG,BE,CSE,7,84000,2000,500,1000,1500,true
2026-2027,Management Quota,UG,BE,CSE,8,84000,2000,500,1000,1500,true
